,ISO,Year,Risk.ext.debt.distress,Debt.Indicator,Inflation,Cur.acc.bal,Gen.gov.len.bor,Vol.Exp.Goods,GDP,GDP.per.cap,Gen.gov.rev,US.int.rates,Ext.Debt.Serv,Real.GDP.growth,Exch.Rate,Control.of.Corruption,Government.Effectiveness,Pol.Stability.Absence.of.Violence,Regulatory.Quality,Rule.of.Law,Voice.and.Accountability
1,BEN,2005,Moderate,0,4.676,-3.444,-1.523,-1.734,6.571,823.24,12.615,2.981356771,48441194.6,1.713164564,527.2583626,-0.8500885,4.3423732,0.4468158,-0.6539117,1.9584584,-0.0299641
2,BFA,2005,Moderate,0,6.409,-10.324,-4.89,18.105,6.15,458.187,15.327,2.981356771,45990513.7,8.661873228,527.2583626,-0.1257476,4.4212283,-0.0648551,-0.4010216,1.9799709,-0.4465201
3,BDI,2005,High,1,13.253,-4.665,-10.556,24.653,1.117,148.71,22.587,2.981356771,40010353.8,0.900000001,1081.577167,-0.9300242,3.750419,-1.524742,-1.364591,1.346115,-0.6342345
4,CMR,2005,Low,0,1.993,-2.757,3.292,-10.677,17.974,1007.39,16.798,2.981356771,818876650,2.020662307,527.2583626,-1.181337,4.0904411,-0.183143,-0.9296345,1.292113,-1.034067
5,CAF,2005,In debt distress,1,2.879,-6.235,-4.343,-6.075,1.413,356.688,11.813,2.981356771,6878445.1,0.908210515,527.2583626,-1.278493,3.435491,-1.430053,-1.340983,1.046705,-0.9943755
6,TCD,2005,High,1,4.449,1.041,-0.068,33.57,6.676,661.203,11.442,2.981356771,54594318.2,17.33253374,527.2583626,-1.506754,3.616108,-1.443999,-1.236425,0.989048,-1.307716
7,COM,2005,In debt distress,1,3.007,-3.795,0.032,21.027,0.656,1085.66,11.763,2.981356771,4032130.1,2.83754787,395.443772,-0.8848742,3.398967,-0.435432,-1.505809,1.5046498,-0.630451
8,COD,2005,In debt distress,1,21.545,-3.22,0.639,25.603,12.069,189.034,9.366,2.981356771,217647070.9,6.135151155,473.9080083,-1.418278,3.4281,-2.132514,-1.683722,0.946307,-1.521638
9,COG,2005,High,1,2.466,6.067,13.403,24.303,6.654,2058.3,35.528,2.981356771,112368096.1,7.755758978,527.2583626,-1.044834,3.729308,-1.166832,-1.314487,1.027441,-1.07914
10,CIV,2005,In debt distress,1,3.884,0.168,-1.025,4.416,23.625,1287.97,12.572,2.981356771,307109438.6,1.721247367,527.2583626,-1.240558,3.676604,-2.264047,-0.8962979,1.020427,-1.294619
11,ETH,2005,Moderate,0,11.656,-12.657,-4.122,-4.328,12.387,164.937,18.768,2.981356771,88313921.1,11.81876595,8.666441667,-0.7700803,4.0828696,-1.690749,-1.133831,1.5638786,-1.238757
12,GMB,2005,In debt distress,1,4.959,-6.283,-3.332,8.9,1.028,665.721,9.614,2.981356771,28688477.5,-2.351729362,28.57543333,-0.7058645,4.2844089,0.2021239,-0.5525596,2.1206185,-1.015846
13,GHA,2005,Moderate,0,15.095,-4.97,-2.016,1.537,24.521,1147.61,11.847,2.981356771,340493092.2,5.900003916,0.905209486,-0.3671385,4.8126182,0.1683214,-0.1254053,2.3837157,0.1974853
14,GIN,2005,In debt distress,1,31.358,-0.83,-1.074,3.764,4.506,470.57,9.934,2.981356771,173195278.5,2.997272562,3644.333333,-1.050257,3.952436,-1.156667,-1.079883,1.127999,-1.172005
15,GNB,2005,In debt distress,1,3.358,-1.635,-4.96,14.451,0.64,482.181,15.206,2.981356771,6370606.7,4.266098931,527.2583626,-1.152722,3.639372,-0.5646369,-1.11762,1.249564,-0.4844251
